HUC12,Levee System ID,Inland Flood,Storm Surge
20502040106.0,1305000006.0,0.328,0.0
20502040302.0,1305000371.0,0.308,0.0
20502040305.0,1305000628.0,0.308,0.0
20502040305.0,500005000021.0,0.308,0.0
20502040405.0,1305000004.0,0.324,0.0
20502040407.0,2305200001.0,0.308,0.0
20502050102.0,2305430002.0,0.488,0.0
20502050204.0,2305430001.0,0.372,0.0
20502060202.0,500005000001.0,1.027,0.0
20502060206.0,500005000001.0,0.895,0.0
20502060208.0,2305320002.0,0.402,0.0
20502060208.0,2305320001.0,0.308,0.0
20502060507.0,500005000008.0,0.308,0.0
20502060509.0,500005000008.0,0.308,0.0
20502060602.0,2305320002.0,0.308,0.0
20502060604.0,2305320001.0,0.308,0.0
20502060604.0,2305350001.0,0.308,0.0
20502060604.0,2305320003.0,0.43,0.0
20503010101.0,2305610001.0,0.972,0.0
20503010104.0,2305280001.0,0.308,0.0
20503010202.0,1305000007.0,0.337,0.0
20503010305.0,1305000015.0,0.326,0.0
20503010403.0,1305000016.0,0.341,0.0
20503010403.0,1305000627.0,0.341,0.0
20503011001.0,2305280001.0,0.308,0.0
20503020506.0,1305000597.0,1.565,0.0
20503020506.0,500005000023.0,1.688,0.0
20503020801.0,2305470001.0,0.54,0.0
20503020802.0,2305470001.0,0.583,0.0
20503030504.0,2305420001.0,0.787,0.0
20503040103.0,500005000016.0,0.741,0.0
20503040302.0,500005000015.0,1.004,0.0
20503040403.0,500005000014.0,0.886,0.0
20503050105.0,1305000519.0,0.76,0.0
20503051011.0,1305000121.0,0.752,1.023
20503051011.0,500005000004.0,0.752,1.023
20503060705.0,1305000154.0,0.752,1.023
20503060705.0,2305340008.0,0.745,1.026
20503060705.0,2305340005.0,0.77,1.026
20503060705.0,2305340002.0,0.752,1.023
20503060705.0,2305340004.0,0.708,1.026
20503060705.0,2305340003.0,0.752,1.023
20503060705.0,2305340006.0,0.713,0.974
20503060705.0,2305340007.0,0.752,1.023
20503060706.0,2305340003.0,0.752,1.023
20503060706.0,2305340001.0,0.752,1.023
20503060707.0,2305340001.0,0.752,1.023
20503060707.0,2305340002.0,0.752,1.023
20600020204.0,1305000128.0,0.998,0.275
20600020207.0,1305000144.0,0.998,0.536
20600020207.0,1305000145.0,0.998,0.536
20600020302.0,1305000149.0,0.998,0.536
20600030901.0,1305000018.0,0.977,1.023
20600030902.0,1305000018.0,0.977,1.023
20600031201.0,1305000019.0,0.947,0.948
20600060303.0,2305290002.0,0.924,1.003
20600060304.0,2305290001.0,0.933,1.026
20700010202.0,2305250001.0,0.651,0.0
20700010310.0,2305250001.0,0.554,0.0
20700010310.0,2305250002.0,0.518,0.0
20700010402.0,2305250002.0,0.668,0.0
20700010509.0,2305210001.0,0.524,0.0
20700010509.0,2305210002.0,0.585,0.0
20700010601.0,2305210002.0,0.6,0.0
20700010603.0,2305210001.0,0.551,0.0
20700020203.0,2305050002.0,1.834,0.0
20700020203.0,2305050001.0,1.834,0.0
20700020205.0,2305180002.0,1.644,0.0
20700020205.0,2305180001.0,1.602,0.0
20700020301.0,1305000337.0,0.981,0.0
20700020301.0,1305000338.0,0.922,0.0
20700020302.0,1305000328.0,1.298,0.0
20700020403.0,2305100003.0,0.764,0.0
20700020403.0,2305100002.0,1.272,0.0
20700020403.0,1305000636.0,0.872,0.0
20700020506.0,1305000374.0,0.599,0.0
20700020506.0,2305480002.0,0.538,0.0
20700020506.0,2305480001.0,0.547,0.0
20700020507.0,2305100003.0,0.667,0.0
20700020507.0,2305100001.0,0.692,0.0
20700020801.0,2305100001.0,0.663,0.0
20700020801.0,1305000630.0,0.679,0.0
20700020801.0,2305100002.0,0.686,0.0
20700050504.0,2305070001.0,0.618,0.0
