HUC12,Inland Flood,Storm Surge
10100071001.0,1.314,0.0
10100071002.0,1.278,0.0
10100071003.0,1.314,0.0
10100080101.0,1.389,0.0
10100080102.0,1.381,0.0
10100080103.0,1.228,0.0
10100080201.0,1.411,0.0
10100080202.0,1.411,0.0
10100080203.0,1.411,0.0
10100080204.0,1.411,0.0
10100080205.0,1.411,0.0
10100080206.0,1.411,0.0
10100080301.0,1.411,0.0
10100080302.0,0.992,0.0
10100080303.0,0.992,0.0
10100080304.0,0.992,0.0
10100080305.0,1.411,0.0
10100080306.0,1.411,0.0
10100080401.0,1.411,0.0
10100080402.0,1.411,0.0
10100080403.0,1.411,0.0
10100080404.0,1.411,0.0
10100080405.0,1.488,0.0
10100080406.0,1.488,0.0
10100080407.0,1.497,0.0
10100080408.0,1.281,0.0
10100080409.0,1.497,0.0
10100080501.0,1.266,0.0
10100080502.0,1.266,0.0
10100080503.0,1.266,0.0
10100080504.0,1.464,0.0
10100080505.0,1.283,0.0
10100080601.0,1.255,0.0
10100080602.0,1.255,0.0
10100080603.0,1.255,0.0
10100080604.0,1.255,0.0
10100080605.0,1.255,0.0
10100080701.0,0.992,0.0
10100080702.0,0.992,0.0
10100080703.0,0.992,0.0
10100080704.0,0.992,0.0
10100080801.0,0.992,0.0
10100080802.0,0.992,0.0
10100080803.0,0.992,0.0
10100080804.0,0.992,0.0
10100080805.0,0.992,0.0
10100080806.0,0.992,0.0
10100080807.0,0.992,0.0
10100080901.0,0.992,0.0
10100080902.0,0.992,0.0
10100080903.0,0.992,0.0
10100080904.0,0.992,0.0
10100080905.0,0.992,0.0
10100080906.0,0.992,0.0
10100080907.0,0.992,0.0
10100080908.0,0.992,0.0
10100080909.0,0.992,0.0
10100080910.0,0.992,0.0
10100080911.0,0.992,0.0
10100080912.0,0.992,0.0
10100080913.0,0.992,0.0
10100081001.0,0.992,0.0
10100081002.0,0.992,0.0
10100081003.0,0.992,0.0
10100081004.0,0.992,0.0
10100081005.0,0.992,0.0
10100081006.0,0.992,0.0
10100081007.0,0.992,0.0
10100081008.0,0.992,0.0
10100081009.0,0.992,0.0
10100081101.0,0.992,0.0
10100081102.0,0.992,0.0
10100081103.0,1.105,0.0
10100081104.0,1.105,0.0
10100081105.0,1.105,0.0
10100081106.0,1.105,0.0
10100081201.0,1.187,0.0
10100081202.0,1.241,0.0
10100081203.0,1.105,0.0
10100090100.0,1.772,0.0
10100090201.0,0.992,0.0
10100090202.0,0.992,0.0
10100090203.0,2.261,0.0
10100090204.0,2.261,0.0
10100090301.0,2.261,0.0
10100090302.0,2.261,0.0
10100090303.0,2.261,0.0
10100090401.0,2.261,0.0
10100090402.0,2.261,0.0
10100090403.0,2.261,0.0
10100090500.0,2.261,0.0
10100090600.0,2.261,0.0
10100090700.0,2.097,0.0
10100090801.0,1.772,0.0
10100090802.0,2.261,0.0
10100090803.0,2.261,0.0
10100090804.0,2.18,0.0
10100090805.0,2.261,0.0
10100090806.0,2.218,0.0
10100090807.0,2.261,0.0
10100090808.0,2.261,0.0
10100090809.0,2.097,0.0
10100090810.0,2.097,0.0
10100100101.0,0.977,0.0
10100100102.0,0.759,0.0
10100100103.0,0.942,0.0
10100100104.0,0.966,0.0
10100100201.0,0.914,0.0
10100100202.0,0.968,0.0
10100100203.0,1.01,0.0
10100100204.0,0.893,0.0
10100100205.0,1.101,0.0
10100100206.0,0.872,0.0
10100100207.0,0.962,0.0
10100100301.0,0.966,0.0
10100100302.0,0.966,0.0
10100100303.0,0.966,0.0
10100100401.0,0.992,0.0
10100100402.0,0.992,0.0
10100100403.0,0.992,0.0
10100100404.0,0.992,0.0
10100100405.0,0.992,0.0
10100100501.0,0.962,0.0
10100100502.0,0.962,0.0
10100100503.0,1.034,0.0
10100110101.0,0.992,0.706
10100110102.0,1.22,0.706
10100110103.0,1.22,0.0
10100110104.0,1.22,0.0
10100110105.0,1.22,0.0
10100110106.0,1.22,0.0
10100110107.0,1.22,0.0
10100110108.0,0.992,0.0
10100110109.0,1.22,0.0
10100110201.0,0.992,0.0
10100110202.0,0.992,0.0
10100110203.0,1.034,0.0
10100110204.0,0.992,0.0
10100110301.0,0.992,0.0
10100110302.0,0.992,0.0
10100110303.0,0.992,0.0
10100110304.0,0.992,0.0
10100110305.0,0.992,0.0
10100110401.0,0.992,0.0
10100110402.0,0.992,0.765
10100110403.0,0.992,0.815
10100110404.0,0.992,0.815
10100110405.0,0.992,0.815
10100110406.0,0.992,0.815
10100110407.0,0.992,0.815
10100110408.0,0.992,0.815
10100110409.0,0.992,0.0
10100110501.0,0.992,0.0
10100110502.0,0.992,0.815
10100110503.0,0.992,0.815
10100110504.0,0.992,0.815
10100110505.0,0.992,0.815
10100110506.0,0.992,0.0
10100110507.0,0.992,0.0
10100110508.0,0.992,0.0
10100110509.0,0.992,1.006
10100110601.0,0.992,0.0
10100110602.0,0.992,0.0
10100110603.0,0.992,0.0
10100110604.0,0.992,0.0
10100110605.0,0.992,0.0
10100110606.0,0.992,0.0
10100110607.0,0.992,0.0
10100110701.0,0.992,0.0
10100110702.0,0.992,0.0
10100110703.0,0.992,0.0
10100110704.0,0.992,0.0
10200010101.0,1.273,0.0
10200010102.0,1.273,0.0
10200010103.0,1.273,0.0
10200010104.0,1.273,0.0
10200010105.0,1.273,0.0
10200010106.0,1.273,0.0
10200010201.0,1.274,0.0
10200010202.0,1.274,0.0
10200010203.0,1.274,0.0
10200010204.0,1.274,0.0
10200010205.0,1.273,0.0
10200010206.0,1.273,0.0
10200010207.0,1.273,0.0
10200010208.0,1.273,0.0
10200010209.0,1.309,0.0
10200010210.0,1.273,0.0
10200010301.0,1.233,0.0
10200010302.0,1.234,0.0
10200010303.0,1.246,0.0
10200010304.0,1.246,0.0
10200010305.0,1.246,0.0
10200010306.0,1.234,0.0
10200010307.0,1.234,0.0
10200010308.0,1.234,0.0
10200010401.0,1.39,0.0
10200010402.0,1.39,0.0
